IDLong,ID,IDRodic,Uroven,Kod,Poradie,Styl,Popis,PopisSkrateny,MJ,Poznamka,Zobrazovat,ZmenaOsoba,ZmenaCas,TZnacka
1,"{476C29E4-CAD0-4AE2-977097A28969E5B1}","{00000000-0000-0000-0000000000000000}",0,"0",1,0,"Vedlejší rozpočtové náklady","Vedlejší rozpočtové náklady",,,1,"KROS","12/05/25 11:32:24",0
2,"{3495AC87-A06C-4EA7-B3EDC7F9892B6C27}","{00000000-0000-0000-0000000000000000}",1,"01",2,0,"Průzkumné, zeměměřičské a projektové práce","Průzkumné, zeměměřičské a projektové práce",,,1,"KROS","12/05/25 11:32:24",0
3,"{09B67EA1-21D4-4378-A696F3F5D0A95C8C}","{00000000-0000-0000-0000000000000000}",2,"011",3,0,"průzkumné práce","Průzkumné práce",,,1,"KROS","12/05/25 11:32:24",0
4,"{7672CBF1-D004-40CF-A70F1EC5EBB6CAF0}","{00000000-0000-0000-0000000000000000}",3,"0111",4,0,"geotechnický průzkum","Geotechnický průzkum",,,1,"KROS","12/05/25 11:32:24",0
5,"{9F494A69-F8BD-4EB1-8D240FA42D21186C}","{00000000-0000-0000-0000000000000000}",4,"01111",5,0,"inženýrsko-geologický","Inženýrsko-geologický průzkum",,,1,"KROS","12/05/25 11:32:24",0
6,"{CC123730-7329-443F-AB88662C581E2858}","{00000000-0000-0000-0000000000000000}",4,"01112",6,0,"radonový","Radonový průzkum",,,1,"KROS","12/05/25 11:32:24",0
7,"{3C22D4D3-55B7-430B-9C6BA2F4A802BC59}","{00000000-0000-0000-0000000000000000}",4,"01113",7,0,"hydrogeologický","Hydrogeologický průzkum",,,1,"KROS","12/05/25 11:32:24",0
8,"{951B80F5-809C-46BB-9CA57A147BBA8661}","{00000000-0000-0000-0000000000000000}",4,"01114",8,0,"pedologický","Pedologický průzkum",,,1,"KROS","12/05/25 11:32:24",0
9,"{ADFBE9DF-DD99-43A1-BF5C6D1D6BE57A93}","{00000000-0000-0000-0000000000000000}",3,"0112",9,0,"biologický průzkum","Biologický průzkum",,,1,"KROS","12/05/25 11:32:24",0
10,"{C0E28AC5-5EF9-4D6F-BB8B5CA4859C653C}","{00000000-0000-0000-0000000000000000}",4,"01121",10,0,"botanický","Botanický půzkum",,,1,"KROS","12/05/25 11:32:24",0
11,"{EE23DD8E-5F9A-4051-9808669E9A40E9E6}","{00000000-0000-0000-0000000000000000}",4,"01122",11,0,"mykologický","Mykologický průzkum",,,1,"KROS","12/05/25 11:32:24",0
12,"{60CFA7C5-F3D3-4A28-AF7A53A5041B102E}","{00000000-0000-0000-0000000000000000}",4,"01123",12,0,"zoologický","Zoologický průzkum",,,1,"KROS","12/05/25 11:32:24",0
13,"{13838628-D7B1-42A1-AA093A1F54A82DBB}","{00000000-0000-0000-0000000000000000}",4,"01129",13,0,"ostatní","Ostatní Biologické průzkumy",,,1,"KROS","12/05/25 11:32:24",0
14,"{D00C879C-CA59-4C00-8BB3C4E08D6BA766}","{00000000-0000-0000-0000000000000000}",3,"0113",14,0,"archeologická činnost","Archeologická činnost",,,1,"KROS","12/05/25 11:32:24",0
15,"{3212F22E-4B43-4E4F-BFEA214F18D3E080}","{00000000-0000-0000-0000000000000000}",4,"01131",15,0,"archeologický dohled","Archeologický dohled",,,1,"KROS","12/05/25 11:32:24",0
16,"{331B6D49-A855-4606-974F56D0A9E1DB73}","{00000000-0000-0000-0000000000000000}",4,"01132",16,0,"archeologický výzkum","Archeologický výzkum",,,1,"KROS","12/05/25 11:32:24",0
17,"{A1598D77-C5DD-4C4B-8DAD43A2FBCA932F}","{00000000-0000-0000-0000000000000000}",3,"0114",17,0,"průzkum výskytu nebezpečných látek a jevů","Průzkum výskytu nebezpečných látek a jevů",,,1,"KROS","12/05/25 11:32:24",0
18,"{109BCA48-B930-424B-96892A8E814629F4}","{00000000-0000-0000-0000000000000000}",4,"01141",18,0,"odpad (komunální i průmyslový)","Průzkum výskytu odpadu (komunální i průmyslový)",,,1,"KROS","12/05/25 11:32:24",0
19,"{759830EF-15E5-4652-964BB7038AB245DB}","{00000000-0000-0000-0000000000000000}",4,"01142",19,0,"munice, výbušniny a jiné nebezpečné látky","Průzkum výskytu munice, výbušnin a jiných nebezpečných látek",,,1,"KROS","12/05/25 11:32:24",0
20,"{7FA2F5B1-6788-4E7F-BC1F3FE2840BF034}","{00000000-0000-0000-0000000000000000}",4,"01143",20,0,"měření (monitoring) hlukové hladiny","Měření (monitoring) hlukové hladiny",,,1,"KROS","12/05/25 11:32:24",0
21,"{5A16BDA2-84AC-480E-8563C593311BD859}","{00000000-0000-0000-0000000000000000}",4,"01144",21,0,"měření (monitoring) znečištění ovzduší","Měření (monitoring) znečištění ovzduší",,,1,"KROS","12/05/25 11:32:24",0
22,"{8492D4D4-246E-469E-B2E22A49AA6329A5}","{00000000-0000-0000-0000000000000000}",4,"01145",22,0,"měření vibrací","Měření (monitoring) vibrací",,,1,"KROS","12/05/25 11:32:24",0
23,"{FF8566C8-B229-4B2F-AF41062B1893C268}","{00000000-0000-0000-0000000000000000}",4,"01146",23,0,"měření úrovně osvětlení","Měření (monitoring) úrovně osvětlení",,,1,"KROS","12/05/25 11:32:24",0
24,"{45FDC3CB-C312-4354-97AA0F9D28B1FA89}","{00000000-0000-0000-0000000000000000}",3,"0115",24,0,"stavební průzkum","Stavební průzkum",,,1,"KROS","12/05/25 11:32:24",0
25,"{5FC9AA1B-49C6-4C86-A274A20E055DA3CA}","{00000000-0000-0000-0000000000000000}",4,"01151",25,0,"stavebně-technický","Stavebně-technický průzkum",,,1,"KROS","12/05/25 11:32:24",0
26,"{89142177-CF14-4434-B55AD759E5A468B2}","{00000000-0000-0000-0000000000000000}",4,"01153",26,0,"stavebně-historický","Stavebně-historický průzkum",,,1,"KROS","12/05/25 11:32:24",0
